ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2016-05-02,682,148,7,1
2016-05-01,585,75,7,0
2016-04-19,1152,250,7,31
2016-04-18,1173,260,7,0
2016-04-17,508,249,7,1
2016-04-19,648,382,7,0
2016-04-28,1192,213,7,28
2016-04-18,1070,343,7,20
2016-04-13,1287,127,7,19
2016-04-26,1077,352,7,0
2016-04-26,680,254,7,36
2016-05-11,709,199,7,24
2016-04-19,1152,191,7,90
2016-05-11,1189,184,7,60
2016-04-29,767,172,7,3
2016-04-12,1237,196,7,0
2016-04-12,1036,312,7,85
2016-04-21,838,211,8,19
2016-05-08,574,203,8,44
2016-04-17,1231,199,8,2
2016-05-02,1322,94,8,16
2016-04-25,1171,217,8,44
2016-05-02,1119,277,8,36
2016-04-12,706,181,8,3
2016-04-17,1272,160,8,0
2016-04-28,804,190,8,15
2016-05-11,1296,134,8,2
2016-04-25,544,390,8,0
2016-04-28,552,359,8,13
2016-04-18,1017,239,8,27
2016-04-24,584,239,8,14
2016-05-08,733,308,8,0
2016-05-05,1048,370,8,14
2016-04-15,944,256,8,1
2016-04-19,757,179,8,10
2016-04-26,765,216,8,1
2016-05-08,505,210,8,3
2016-05-03,580,212,8,97
2016-04-28,621,288,8,38
2016-05-12,127,105,8,0
2016-04-12,1024,355,8,53
2016-04-12,1193,123,8,116
2016-04-15,1142,158,8,132
2016-04-29,1215,159,8,58
2016-05-04,1220,123,8,89
2016-04-20,763,169,8,82
2016-04-24,1410,19,8,3
2016-04-27,1104,235,8,93
2016-04-28,1143,231,8,58
2016-05-04,1154,212,8,66
2016-04-14,1292,88,9,0
2016-04-15,1122,282,9,27
2016-04-12,1112,306,9,13
2016-04-27,623,295,9,26
2016-04-25,781,133,9,50
2016-04-14,589,339,9,1
2016-04-18,824,58,9,1
2016-04-16,609,253,9,6
2016-04-28,878,234,9,19
2016-04-19,1182,248,9,1
2016-04-28,738,232,9,14
2016-05-02,724,227,9,23
2016-05-06,761,229,9,21
2016-05-04,631,141,9,25
2016-04-30,1344,84,9,3
2016-04-25,1104,209,9,118
2016-04-28,1188,153,9,90
2016-05-05,1208,130,9,93
2016-04-16,773,221,10,36
2016-04-22,1105,273,10,52
2016-04-21,1302,127,10,1
2016-05-03,1204,206,10,20
2016-04-27,714,176,10,0
2016-04-25,993,340,10,18
2016-05-03,1172,237,10,21
2016-04-20,587,349,10,26
2016-04-27,1187,183,10,60
2016-05-10,1219,115,10,96
2016-04-18,720,174,10,117
2016-04-23,740,136,10,19
2016-04-28,711,139,10,11
2016-05-01,669,127,10,71
2016-05-04,680,167,10,19
2016-05-11,763,184,10,72
2016-04-19,1257,166,10,7
2016-04-20,744,139,10,0
2016-04-14,1218,181,11,30
2016-04-27,1108,243,11,78
2016-05-09,835,206,11,46
2016-04-16,1237,151,11,41
2016-04-19,1201,228,11,0
2016-04-20,1146,283,11,0
2016-05-05,1206,223,11,0
2016-04-25,653,277,11,15
2016-05-07,1302,52,11,75
2016-05-02,1350,31,11,0
2016-05-02,585,344,11,0
2016-05-06,692,314,11,6
2016-04-28,985,367,11,1
2016-04-25,732,201,11,51
2016-04-13,776,144,11,15
2016-05-09,1099,70,11,34
2016-04-13,1298,96,11,35
2016-05-10,1187,224,11,18
2016-04-20,818,205,12,28
2016-04-29,815,243,12,16
2016-04-18,1211,217,12,0
2016-04-22,731,188,12,33
2016-05-10,555,329,12,3
2016-04-21,853,272,12,7
2016-04-16,1112,308,12,8
2016-05-09,746,253,12,0
2016-04-17,1172,225,12,31
2016-04-27,1041,337,12,50
2016-05-04,843,135,12,45
2016-04-13,1177,156,12,95
2016-05-09,1214,148,12,66
2016-04-22,769,159,12,113
2016-05-01,1226,166,12,36
2016-05-11,1127,213,12,88
2016-04-12,728,328,13,25
2016-04-17,1212,186,13,29
2016-04-21,1117,308,13,2
2016-04-12,964,320,13,28
2016-05-04,1106,313,13,8
2016-04-12,767,277,13,19
2016-04-28,727,165,13,49
2016-04-25,1302,92,13,33
2016-04-28,1410,15,13,2
2016-04-17,634,295,13,5
2016-05-06,1136,247,13,44
2016-04-20,797,145,13,87
2016-05-09,772,171,13,71
2016-05-10,840,152,13,63
2016-04-19,1131,214,13,82
2016-04-21,1119,226,13,82
2016-04-25,814,216,14,73
2016-04-12,1157,227,14,42
2016-05-03,1104,250,14,72
2016-05-09,490,374,14,2
2016-04-13,1275,150,14,1
2016-05-10,648,267,14,13
2016-04-27,1087,312,14,27
2016-04-12,796,189,14,50
2016-05-08,709,151,14,0
2016-05-02,1112,250,14,64
2016-05-05,1253,149,14,24
2016-04-23,741,223,14,125
2016-05-08,1073,228,14,125
2016-04-26,1299,108,14,19
2016-04-29,1257,136,14,16
2016-04-13,680,169,14,116
2016-04-29,634,380,14,6
2016-05-02,798,277,15,41
2016-04-23,1265,160,15,0
2016-04-12,712,331,15,4
2016-04-13,1234,96,15,8
2016-05-01,579,241,15,12
2016-04-18,1080,331,15,14
2016-04-25,730,270,15,6
2016-05-04,757,251,15,4
2016-04-29,709,270,15,46
2016-05-11,257,63,15,45
2016-04-16,502,518,15,7
2016-04-29,645,369,15,12
2016-05-01,685,258,15,30
2016-05-06,1245,90,15,90
2016-04-12,723,156,15,65
2016-04-17,1060,307,15,58
2016-05-05,1170,188,15,67
2016-04-18,1149,233,16,42
2016-04-13,1259,135,16,30
2016-05-12,728,236,16,16
2016-04-18,678,206,16,11
2016-04-19,704,249,16,20
2016-04-29,1175,236,16,13
2016-05-07,1116,233,16,23
2016-04-27,733,238,16,1
2016-05-06,682,207,16,1
2016-04-22,781,270,16,25
2016-04-27,745,206,16,16
2016-04-12,728,140,16,86
2016-04-20,773,113,16,87
2016-04-27,773,190,16,63
2016-05-06,1304,79,16,41
2016-04-30,731,237,16,32
2016-04-28,1007,401,16,16
2016-04-14,1362,33,16,29
2016-04-18,1278,130,16,16
2016-04-28,1393,20,16,11
2016-04-21,677,145,16,137
2016-04-25,692,141,16,117
2016-05-06,1104,295,17,24
2016-04-19,1066,304,17,53
2016-04-30,584,308,17,42
2016-05-06,1095,232,17,96
2016-04-24,1221,185,18,16
2016-05-01,1219,196,18,7
2016-04-15,1299,87,18,36
2016-04-20,671,306,18,0
2016-04-29,624,289,18,6
2016-05-11,574,311,18,3
2016-05-03,984,306,18,18
2016-05-11,858,256,18,8
2016-05-10,1191,220,18,11
2016-04-26,750,238,18,40
2016-04-13,1053,85,18,17
2016-04-16,1377,9,18,36
2016-04-24,1400,11,18,11
2016-04-26,593,161,18,90
2016-04-21,1229,158,18,35
2016-04-13,1098,216,18,108
2016-04-13,776,217,19,21
2016-04-12,777,131,19,44
2016-04-22,709,176,19,1
2016-05-09,1020,258,19,6
2016-04-17,1110,304,19,7
2016-04-29,692,267,19,12
2016-04-21,579,294,19,11
2016-04-19,737,154,19,120
2016-04-20,1123,225,19,73
2016-04-17,539,164,20,38
2016-04-27,1119,282,20,19
2016-04-28,1123,291,20,6
2016-05-05,1112,253,20,55
2016-05-02,732,235,20,37
2016-05-07,1076,148,20,121
2016-04-21,1199,172,20,49
2016-05-03,822,195,20,71
2016-04-22,817,195,20,1
2016-04-30,749,301,20,10
2016-04-23,732,262,21,41
2016-04-12,1061,356,21,2
2016-04-16,1222,55,21,65
2016-04-26,649,288,21,8
2016-05-04,632,251,21,35
2016-04-21,844,432,21,6
2016-05-05,1153,143,21,45
2016-05-09,607,231,21,43
2016-04-15,864,139,21,30
2016-04-17,1113,195,21,111
2016-04-14,699,174,21,123
2016-04-16,563,142,21,64
2016-05-04,1179,203,22,36
2016-05-11,622,232,22,34
2016-05-09,667,251,22,59
2016-05-05,591,305,22,14
2016-04-13,1101,261,22,56
2016-04-26,978,424,22,16
2016-05-03,1166,165,22,87
2016-04-18,1309,105,22,4
2016-05-06,1250,166,22,2
2016-04-26,833,279,23,31
2016-05-11,669,251,23,36
2016-04-30,1043,361,23,13
2016-04-29,1191,206,23,20
2016-05-05,1093,311,23,13
2016-04-14,801,214,23,5
2016-04-26,673,224,23,14
2016-04-19,733,111,23,108
2016-05-05,1047,317,23,53
2016-05-10,1182,106,23,72
2016-04-15,729,190,23,60
2016-04-13,1252,163,23,2
2016-05-03,816,254,24,50
2016-05-05,857,250,24,45
2016-05-01,908,146,24,3
2016-04-26,1086,275,24,55
2016-04-15,720,284,24,1
2016-04-16,556,335,24,3
2016-04-23,627,223,24,24
2016-04-14,863,105,24,14
2016-04-17,1392,19,24,5
2016-04-13,548,142,24,8
2016-04-25,986,379,24,51
2016-05-11,1133,224,25,58
2016-04-22,945,220,25,77
2016-04-22,1122,273,25,20
2016-04-23,1190,223,25,2
2016-04-24,1161,216,26,37
2016-04-21,761,208,26,23
2016-05-03,669,287,26,8
2016-04-13,744,155,26,31
2016-05-02,737,139,26,66
2016-04-23,1193,191,26,30
2016-04-22,1217,130,27,66
2016-05-04,1105,272,27,36
2016-04-22,781,206,27,9
2016-05-08,695,147,27,32
2016-04-20,1246,167,27,0
2016-04-28,782,189,28,48
2016-05-01,1142,245,28,25
2016-05-10,1084,271,28,57
2016-05-07,586,279,28,3
2016-04-19,756,249,28,69
2016-04-28,1209,203,28,0
2016-04-30,1093,317,28,2
2016-05-07,1036,271,28,105
2016-04-17,1052,331,29,28
2016-04-29,1096,197,29,15
2016-04-30,1111,293,29,7
2016-04-20,717,260,29,2
2016-05-03,812,247,29,26
2016-05-05,692,241,29,44
2016-04-16,888,429,29,94
2016-04-15,1131,262,30,17
2016-05-09,1065,339,30,6
2016-04-18,890,191,30,22
2016-04-14,662,176,30,118
2016-04-22,823,200,30,62
2016-04-26,1321,47,30,42
2016-04-19,775,264,31,50
2016-05-10,746,214,31,46
2016-04-25,1054,301,31,11
2016-05-11,1081,324,31,4
2016-04-18,1233,146,31,30
2016-05-03,1021,330,31,58
2016-04-13,676,195,32,19
2016-04-29,744,150,32,36
2016-04-18,623,130,32,114
2016-04-26,759,181,32,38
2016-04-14,787,189,32,35
2016-04-18,1271,121,33,15
2016-04-22,659,240,33,30
2016-04-20,1000,347,33,60
2016-04-26,726,132,33,70
2016-04-24,1096,182,33,129
2016-04-15,726,209,34,29
2016-04-30,712,217,34,52
2016-05-05,957,328,34,27
2016-05-01,1347,50,34,9
2016-05-10,626,275,34,62
2016-04-21,1049,327,34,30
2016-05-01,730,246,35,33
2016-04-23,591,360,35,32
2016-04-14,945,219,35,10
2016-05-08,1019,238,35,66
2016-05-06,1318,75,35,12
2016-05-06,834,154,35,84
2016-04-27,1233,154,36,17
2016-04-30,728,263,36,4
2016-04-29,739,165,36,97
2016-05-03,654,267,36,21
2016-05-04,683,284,36,15
2016-04-29,1198,182,36,24
2016-05-03,761,152,36,57
2016-04-30,695,196,38,6
2016-05-08,576,178,38,107
2016-04-15,689,239,38,58
2016-04-25,743,214,38,61
2016-04-27,697,279,38,7
2016-04-29,1098,281,40,21
2016-05-01,691,124,40,41
2016-05-02,1131,195,40,5
2016-05-10,707,265,40,61
2016-05-11,757,128,40,57
2016-04-26,1165,223,41,11
2016-05-03,594,258,41,47
2016-04-26,1062,283,41,12
2016-04-21,901,144,41,4
2016-05-11,784,235,41,10
2016-04-14,693,256,41,61
2016-04-19,659,195,41,35
2016-04-23,484,347,41,58
2016-04-16,1135,212,42,51
2016-04-15,644,183,42,15
2016-04-20,696,228,42,19
2016-04-21,801,177,42,47
2016-04-18,689,238,42,13
2016-04-29,961,382,42,55
2016-05-07,621,209,42,20
2016-05-07,833,175,46,37
2016-04-13,754,153,46,31
2016-05-04,531,346,46,13
2016-05-07,577,439,46,5
2016-04-12,1131,256,51,2
2016-04-28,692,141,51,99
2016-04-18,1136,114,51,61
2016-04-16,1268,115,51,6
2016-04-18,605,214,95,4
2016-04-24,660,129,95,30
2016-04-26,797,170,95,7
2016-04-24,542,281,95,15
2016-05-01,1020,171,63,186
2016-04-21,1254,186,0,0
2016-04-25,1238,202,0,0
2016-05-03,1344,96,0,0
2016-05-05,1323,117,0,0
2016-05-04,1388,52,0,0
2016-04-22,1028,366,0,46
2016-04-15,1105,335,0,0
2016-04-19,1064,376,0,0
2016-04-18,1169,271,0,0
2016-05-02,1172,268,0,0
2016-05-09,800,264,0,0
2016-04-20,1148,274,3,15
2016-05-06,1054,369,6,11
2016-05-02,1099,334,7,0
2016-04-24,1127,292,7,14
2016-04-13,1028,404,8,0
2016-04-13,1045,371,8,16
2016-04-14,1061,298,13,68
2016-04-18,1077,284,31,48
2016-05-01,1055,282,95,8
2016-04-16,1084,356,0,0
2016-04-14,1077,363,0,0
2016-04-27,1153,287,0,0
2016-05-06,1135,305,0,0
2016-04-14,1204,236,0,0
2016-04-23,1213,227,0,0
2016-04-26,1300,140,0,0
2016-05-06,1338,102,0,0
2016-05-10,1301,139,0,0
2016-05-12,890,107,0,0
2016-04-20,1315,125,0,0
2016-04-21,1402,38,0,0
2016-04-22,1354,86,0,0
2016-05-11,713,49,0,0
2016-04-15,992,448,0,0
2016-05-10,1067,373,0,0
2016-05-11,1121,319,0,0
2016-04-12,1160,280,0,0
2016-04-22,1234,206,0,0
2016-04-29,1038,402,0,0
2016-05-06,855,177,0,0
2016-04-13,1090,350,0,0
2016-04-15,1112,328,0,0
2016-04-16,1182,258,0,0
2016-04-19,1119,321,0,0
2016-04-20,1182,258,0,0
2016-04-30,1116,324,0,0
2016-05-04,1168,272,0,0
2016-04-16,1087,305,1,47
2016-04-15,1052,281,1,106
2016-04-17,1105,322,2,11
2016-04-26,1083,333,2,22
2016-04-25,1180,249,3,8
2016-05-03,1189,229,3,19
2016-04-30,1119,300,4,17
2016-04-20,1035,378,5,22
2016-04-23,1077,330,5,28
2016-05-06,1065,370,5,0
2016-05-09,1099,303,6,32
2016-05-03,1070,363,6,1
2016-04-23,1032,300,6,102
2016-04-18,1214,202,7,17
2016-04-25,1101,218,8,113
2016-04-21,1037,376,9,18
2016-04-21,1057,371,10,2
2016-05-05,1341,81,12,6
2016-04-27,1057,346,13,24
2016-05-07,1139,243,17,41
2016-04-20,1201,216,18,5
2016-05-10,1254,155,19,12
2016-04-30,1167,248,20,5
2016-04-17,1276,127,22,15
2016-04-30,1182,224,23,11
2016-04-14,1039,370,25,6