DATE,TotalMinutesSleep,TotalTimeInBed
2016-04-12,327.0,346.0
2016-04-15,412.0,442.0
2016-04-17,700.0,712.0
2016-04-19,304.0,320.0
2016-04-20,360.0,377.0
2016-04-21,325.0,364.0
2016-04-23,361.0,384.0
2016-04-24,430.0,449.0
2016-04-25,277.0,323.0
2016-04-26,245.0,274.0
2016-04-28,366.0,393.0
2016-04-29,341.0,354.0
2016-04-30,404.0,425.0
2016-05-01,369.0,396.0
2016-05-02,277.0,309.0
2016-05-03,273.0,296.0
2016-05-05,247.0,264.0
2016-05-06,334.0,367.0
2016-05-07,331.0,349.0
2016-05-08,594.0,611.0
2016-05-09,338.0,342.0
2016-05-10,383.0,403.0
2016-05-11,285.0,306.0
2016-04-29,119.0,127.0
2016-04-30,124.0,142.0
2016-05-02,796.0,961.0
2016-05-08,137.0,154.0
2016-04-15,644.0,961.0
2016-04-30,722.0,961.0
2016-05-01,590.0,961.0
2016-04-13,398.0,422.0
2016-04-26,296.0,315.0
2016-04-28,166.0,178.0
2016-04-12,503.0,546.0
2016-04-13,531.0,565.0
2016-04-14,545.0,568.0
2016-04-15,523.0,573.0
2016-04-16,524.0,567.0
2016-04-17,437.0,498.0
2016-04-19,498.0,540.0
2016-04-20,461.0,510.0
2016-04-21,477.0,514.0
2016-04-22,520.0,545.0
2016-04-23,522.0,554.0
2016-04-24,555.0,591.0
2016-04-25,506.0,531.0
2016-04-27,508.0,545.0
2016-04-28,513.0,545.0
2016-04-29,490.0,510.0
2016-04-30,573.0,607.0
2016-05-01,527.0,546.0
2016-05-02,511.0,543.0
2016-05-04,538.0,560.0
2016-05-05,468.0,485.0
2016-05-06,524.0,548.0
2016-05-07,511.0,521.0
2016-05-08,541.0,568.0
2016-05-09,531.0,556.0
2016-05-10,357.0,380.0
2016-05-11,523.0,553.0
2016-05-12,456.0,485.0
2016-04-23,61.0,69.0
2016-04-13,467.0,531.0
2016-04-14,445.0,489.0
2016-04-15,452.0,504.0
2016-04-17,556.0,602.0
2016-04-18,500.0,557.0
2016-04-19,465.0,514.0
2016-04-21,460.0,484.0
2016-04-22,405.0,461.0
2016-04-23,374.0,386.0
2016-04-24,442.0,459.0
2016-04-25,433.0,471.0
2016-04-26,436.0,490.0
2016-04-27,448.0,499.0
2016-04-28,408.0,450.0
2016-04-29,411.0,473.0
2016-04-12,274.0,469.0
2016-04-14,291.0,397.0
2016-04-15,424.0,556.0
2016-04-16,283.0,510.0
2016-04-17,381.0,566.0
2016-04-19,219.0,395.0
2016-04-21,332.0,512.0
2016-04-22,355.0,476.0
2016-04-23,235.0,372.0
2016-04-24,310.0,526.0
2016-04-25,262.0,467.0
2016-04-26,250.0,371.0
2016-04-27,349.0,540.0
2016-04-28,261.0,423.0
2016-04-29,333.0,478.0
2016-04-30,237.0,382.0
2016-05-01,383.0,626.0
2016-05-02,230.0,384.0
2016-05-03,292.0,500.0
2016-05-04,213.0,336.0
2016-05-05,318.0,480.0
2016-05-06,323.0,512.0
2016-05-07,237.0,443.0
2016-05-10,312.0,452.0
2016-04-12,501.0,541.0
2016-04-16,77.0,77.0
2016-05-03,322.0,332.0
2016-05-04,478.0,536.0
2016-05-05,226.0,248.0
2016-05-06,385.0,408.0
2016-05-08,364.0,402.0
2016-05-10,442.0,494.0
2016-04-14,535.0,557.0
2016-04-15,465.0,491.0
2016-04-16,506.0,522.0
2016-04-18,515.0,551.0
2016-04-20,523.0,543.0
2016-04-21,59.0,65.0
2016-04-22,533.0,550.0
2016-04-23,692.0,722.0
2016-04-24,467.0,501.0
2016-04-25,488.0,506.0
2016-04-26,505.0,516.0
2016-04-27,286.0,307.0
2016-04-28,497.0,522.0
2016-04-29,523.0,546.0
2016-04-30,490.0,516.0
2016-05-01,484.0,500.0
2016-05-02,478.0,506.0
2016-05-03,474.0,512.0
2016-05-06,450.0,491.0
2016-05-07,507.0,530.0
2016-05-08,602.0,638.0
2016-05-09,535.0,565.0
2016-05-10,487.0,517.0
2016-05-11,529.0,558.0
2016-05-12,302.0,321.0
2016-04-15,499.0,526.0
2016-04-18,99.0,104.0
2016-04-19,329.0,338.0
2016-04-20,421.0,451.0
2016-04-21,442.0,458.0
2016-04-22,82.0,85.0
2016-04-23,478.0,501.0
2016-04-26,319.0,346.0
2016-04-27,439.0,500.0
2016-04-28,428.0,458.0
2016-05-01,547.0,597.0
2016-05-04,390.0,414.0
2016-05-05,471.0,495.0
2016-05-05,471.0,495.0
2016-05-07,472.0,496.0
2016-05-09,62.0,65.0
2016-05-10,354.0,375.0
2016-05-11,469.0,494.0
2016-04-14,441.0,492.0
2016-04-16,462.0,499.0
2016-04-17,98.0,107.0
2016-04-20,439.0,462.0
2016-04-21,436.0,469.0
2016-04-22,388.0,417.0
2016-04-25,328.0,345.0
2016-04-27,332.0,374.0
2016-04-28,419.0,442.0
2016-04-29,106.0,108.0
2016-04-30,322.0,353.0
2016-05-02,502.0,542.0
2016-05-08,361.0,391.0
2016-05-09,457.0,533.0
2016-05-10,405.0,426.0
2016-05-11,499.0,530.0
2016-05-12,483.0,501.0
2016-04-21,126.0,137.0
2016-04-26,103.0,121.0
2016-04-29,171.0,179.0
2016-05-01,115.0,129.0
2016-05-08,123.0,134.0
2016-04-12,425.0,439.0
2016-04-14,384.0,415.0
2016-04-15,253.0,257.0
2016-04-17,591.0,612.0
2016-04-18,293.0,312.0
2016-04-19,457.0,487.0
2016-04-20,454.0,468.0
2016-04-21,425.0,434.0
2016-04-23,465.0,475.0
2016-04-24,480.0,506.0
2016-04-25,370.0,380.0
2016-04-26,421.0,429.0
2016-04-27,432.0,449.0
2016-04-28,442.0,461.0
2016-04-29,433.0,447.0
2016-04-30,479.0,501.0
2016-05-03,327.0,373.0
2016-05-04,412.0,434.0
2016-05-05,414.0,428.0
2016-05-06,404.0,449.0
2016-05-07,520.0,543.0
2016-05-07,520.0,543.0
2016-05-09,435.0,458.0
2016-05-10,416.0,431.0
2016-05-11,354.0,366.0
2016-05-12,404.0,442.0
2016-04-12,441.0,464.0
2016-04-14,357.0,418.0
2016-04-15,377.0,409.0
2016-04-17,350.0,402.0
2016-04-19,357.0,410.0
2016-04-20,658.0,678.0
2016-04-21,399.0,431.0
2016-04-22,322.0,353.0
2016-04-25,433.0,468.0
2016-04-26,412.0,453.0
2016-04-27,347.0,391.0
2016-04-28,421.0,457.0
2016-04-29,450.0,495.0
2016-05-02,409.0,471.0
2016-05-03,380.0,429.0
2016-05-04,447.0,470.0
2016-05-05,419.0,464.0
2016-05-06,400.0,434.0
2016-05-07,442.0,470.0
2016-05-08,568.0,608.0
2016-05-09,453.0,494.0
2016-05-10,418.0,443.0
2016-05-11,463.0,486.0
2016-05-12,438.0,475.0
2016-04-12,419.0,438.0
2016-04-13,432.0,458.0
2016-04-14,477.0,497.0
2016-04-15,392.0,413.0
2016-04-16,406.0,445.0
2016-04-17,549.0,583.0
2016-04-18,527.0,553.0
2016-04-19,449.0,465.0
2016-04-20,447.0,480.0
2016-04-21,414.0,437.0
2016-04-22,338.0,366.0
2016-04-23,384.0,402.0
2016-04-24,543.0,615.0
2016-04-25,421.0,461.0
2016-04-26,354.0,377.0
2016-04-27,424.0,452.0
2016-04-28,361.0,372.0
2016-04-29,459.0,485.0
2016-04-30,412.0,433.0
2016-05-01,379.0,398.0
2016-05-03,508.0,543.0
2016-05-04,603.0,634.0
2016-05-05,74.0,78.0
2016-05-10,504.0,562.0
2016-05-11,431.0,476.0
2016-04-16,380.0,398.0
2016-04-19,465.0,492.0
2016-04-20,474.0,502.0
2016-04-21,508.0,550.0
2016-04-22,480.0,546.0
2016-04-23,492.0,539.0
2016-04-24,353.0,367.0
2016-04-27,542.0,557.0
2016-04-28,393.0,416.0
2016-04-29,600.0,636.0
2016-05-01,507.0,575.0
2016-05-05,392.0,415.0
2016-05-08,555.0,603.0
2016-05-09,492.0,522.0
2016-04-13,235.0,260.0
2016-04-14,423.0,441.0
2016-04-15,391.0,406.0
2016-04-12,366.0,387.0
2016-04-15,370.0,386.0
2016-04-16,357.0,366.0
2016-04-17,427.0,446.0
2016-04-18,442.0,458.0
2016-04-19,476.0,535.0
2016-04-20,418.0,424.0
2016-04-21,451.0,457.0
2016-04-22,425.0,435.0
2016-04-23,528.0,546.0
2016-04-24,511.0,514.0
2016-04-25,400.0,415.0
2016-04-26,441.0,446.0
2016-04-27,455.0,467.0
2016-04-28,440.0,453.0
2016-04-29,433.0,447.0
2016-04-30,422.0,424.0
2016-05-01,411.0,426.0
2016-05-02,466.0,482.0
2016-05-03,394.0,418.0
2016-05-04,442.0,455.0
2016-05-05,467.0,491.0
2016-05-06,443.0,462.0
2016-05-07,298.0,334.0
2016-05-08,541.0,569.0
2016-05-09,489.0,497.0
2016-05-10,469.0,481.0
2016-05-11,452.0,480.0
2016-05-12,516.0,535.0
2016-04-16,79.0,82.0
2016-05-01,58.0,61.0
2016-04-12,514.0,525.0
2016-04-13,451.0,465.0
2016-04-14,472.0,476.0
2016-04-15,377.0,386.0
2016-04-19,472.0,483.0
2016-04-20,492.0,502.0
2016-04-21,390.0,411.0
2016-04-22,428.0,448.0
2016-04-24,681.0,704.0
2016-04-25,446.0,447.0
2016-04-26,485.0,500.0
2016-04-27,469.0,479.0
2016-04-28,354.0,367.0
2016-04-30,485.0,489.0
2016-05-01,388.0,407.0
2016-05-02,440.0,459.0
2016-05-03,456.0,461.0
2016-05-04,420.0,436.0
2016-05-06,322.0,333.0
2016-05-07,530.0,548.0
2016-05-08,481.0,510.0
2016-05-09,427.0,438.0
2016-05-11,451.0,463.0
2016-05-12,444.0,457.0
2016-04-20,486.0,493.0
2016-04-23,331.0,337.0
2016-05-07,74.0,75.0
2016-04-12,338.0,356.0
2016-04-14,424.0,455.0
2016-04-15,513.0,533.0
2016-04-18,398.0,451.0
2016-04-19,387.0,421.0
2016-04-20,381.0,409.0
2016-04-21,396.0,417.0
2016-04-22,441.0,469.0
2016-04-23,565.0,591.0
2016-04-24,458.0,492.0
2016-04-25,388.0,402.0
2016-04-25,388.0,402.0
2016-04-26,550.0,584.0
2016-04-27,531.0,600.0
2016-04-28,506.0,556.0
2016-04-29,527.0,562.0
2016-04-30,468.0,555.0
2016-05-01,475.0,539.0
2016-05-02,351.0,385.0
2016-05-03,405.0,429.0
2016-05-04,441.0,477.0
2016-05-05,381.0,417.0
2016-05-06,323.0,355.0
2016-05-08,545.0,606.0
2016-05-09,359.0,399.0
2016-05-10,342.0,391.0
2016-05-11,368.0,387.0
2016-05-12,496.0,546.0
2016-04-12,458.0,493.0
2016-04-13,531.0,552.0
2016-04-14,486.0,503.0
2016-04-15,363.0,377.0
2016-04-20,528.0,547.0
2016-04-22,391.0,407.0
2016-04-23,339.0,360.0
2016-04-27,423.0,428.0
2016-04-28,402.0,416.0
2016-04-29,398.0,406.0
2016-04-30,343.0,360.0
2016-05-01,503.0,527.0
2016-05-02,415.0,423.0
2016-05-03,516.0,545.0
2016-05-04,439.0,463.0
2016-04-13,384.0,407.0
2016-04-16,340.0,367.0
2016-04-15,475.0,499.0
2016-04-13,295.0,456.0
2016-04-18,412.0,522.0
2016-04-20,152.0,305.0
2016-05-08,259.0,456.0
2016-04-19,461.0,498.0
2016-04-16,426.0,448.0
2016-04-17,619.0,641.0
2016-04-30,409.0,430.0
2016-05-02,368.0,376.0
2016-05-08,529.0,541.0
2016-04-12,429.0,457.0
2016-04-13,370.0,406.0
2016-04-15,337.0,379.0
2016-04-19,388.0,424.0
2016-04-26,353.0,391.0
2016-05-01,439.0,459.0
2016-05-03,417.0,450.0
2016-05-04,337.0,363.0
2016-05-05,462.0,513.0
2016-05-06,374.0,402.0
2016-05-07,401.0,436.0
2016-04-13,400.0,430.0
2016-04-16,382.0,406.0
2016-04-13,455.0,488.0
2016-04-16,651.0,686.0
2016-04-18,520.0,541.0
2016-04-23,631.0,725.0
2016-04-24,553.0,640.0
2016-04-30,775.0,843.0
2016-05-01,622.0,686.0
2016-05-02,525.0,553.0
2016-04-17,336.0,350.0
2016-04-18,493.0,510.0
2016-05-06,658.0,698.0
2016-05-07,498.0,507.0
2016-04-14,508.0,535.0
2016-04-13,447.0,487.0
2016-04-16,611.0,689.0
2016-04-17,525.0,591.0
2016-05-07,459.0,513.0
2016-04-12,750.0,775.0
2016-04-24,552.0,595.0
2016-04-13,630.0,679.0
,,