datetime,TotalSleep,TotalBed
2016-04-12T00:00:00,327.0,346.0
2016-04-12T00:00:00,412.0,442.0
2016-04-12T00:00:00,700.0,712.0
2016-04-12T00:00:00,304.0,320.0
2016-04-12T00:00:00,360.0,377.0
2016-04-12T00:00:00,325.0,364.0
2016-04-12T00:00:00,361.0,384.0
2016-04-12T00:00:00,430.0,449.0
2016-04-12T00:00:00,277.0,323.0
2016-04-12T00:00:00,245.0,274.0
2016-04-12T00:00:00,366.0,393.0
2016-04-12T00:00:00,341.0,354.0
2016-04-12T00:00:00,404.0,425.0
2016-04-12T00:00:00,369.0,396.0
2016-04-12T00:00:00,277.0,309.0
2016-04-12T00:00:00,273.0,296.0
2016-04-12T00:00:00,247.0,264.0
2016-04-12T00:00:00,334.0,367.0
2016-04-12T00:00:00,331.0,349.0
2016-04-12T00:00:00,594.0,611.0
2016-04-12T00:00:00,338.0,342.0
2016-04-12T00:00:00,383.0,403.0
2016-04-12T00:00:00,285.0,306.0
2016-04-12T00:00:00,119.0,127.0
2016-04-12T00:00:00,124.0,142.0
2016-04-12T00:00:00,796.0,961.0
2016-04-12T00:00:00,137.0,154.0
2016-04-12T00:00:00,644.0,961.0
2016-04-12T00:00:00,722.0,961.0
2016-04-12T00:00:00,590.0,961.0
2016-04-12T00:00:00,398.0,422.0
2016-04-12T00:00:00,296.0,315.0
2016-04-12T00:00:00,166.0,178.0
2016-04-12T00:00:00,503.0,546.0
2016-04-12T00:00:00,531.0,565.0
2016-04-12T00:00:00,545.0,568.0
2016-04-12T00:00:00,523.0,573.0
2016-04-12T00:00:00,524.0,567.0
2016-04-12T00:00:00,437.0,498.0
2016-04-12T00:00:00,498.0,540.0
2016-04-12T00:00:00,461.0,510.0
2016-04-12T00:00:00,477.0,514.0
2016-04-12T00:00:00,520.0,545.0
2016-04-12T00:00:00,522.0,554.0
2016-04-12T00:00:00,555.0,591.0
2016-04-12T00:00:00,506.0,531.0
2016-04-12T00:00:00,508.0,545.0
2016-04-12T00:00:00,513.0,545.0
2016-04-12T00:00:00,490.0,510.0
2016-04-12T00:00:00,573.0,607.0
2016-04-12T00:00:00,527.0,546.0
2016-04-12T00:00:00,511.0,543.0
2016-04-12T00:00:00,538.0,560.0
2016-04-12T00:00:00,468.0,485.0
2016-04-12T00:00:00,524.0,548.0
2016-04-12T00:00:00,511.0,521.0
2016-04-12T00:00:00,541.0,568.0
2016-04-12T00:00:00,531.0,556.0
2016-04-12T00:00:00,357.0,380.0
2016-04-12T00:00:00,523.0,553.0
2016-04-12T00:00:00,456.0,485.0
2016-04-12T00:00:00,61.0,69.0
2016-04-12T00:00:00,467.0,531.0
2016-04-12T00:00:00,445.0,489.0
2016-04-12T00:00:00,452.0,504.0
2016-04-12T00:00:00,556.0,602.0
2016-04-12T00:00:00,500.0,557.0
2016-04-12T00:00:00,465.0,514.0
2016-04-12T00:00:00,460.0,484.0
2016-04-12T00:00:00,405.0,461.0
2016-04-12T00:00:00,374.0,386.0
2016-04-12T00:00:00,442.0,459.0
2016-04-12T00:00:00,433.0,471.0
2016-04-12T00:00:00,436.0,490.0
2016-04-12T00:00:00,448.0,499.0
2016-04-12T00:00:00,408.0,450.0
2016-04-12T00:00:00,411.0,473.0
2016-04-12T00:00:00,274.0,469.0
2016-04-12T00:00:00,291.0,397.0
2016-04-12T00:00:00,424.0,556.0
2016-04-12T00:00:00,283.0,510.0
2016-04-12T00:00:00,381.0,566.0
2016-04-12T00:00:00,219.0,395.0
2016-04-12T00:00:00,332.0,512.0
2016-04-12T00:00:00,355.0,476.0
2016-04-12T00:00:00,235.0,372.0
2016-04-12T00:00:00,310.0,526.0
2016-04-12T00:00:00,262.0,467.0
2016-04-12T00:00:00,250.0,371.0
2016-04-12T00:00:00,349.0,540.0
2016-04-12T00:00:00,261.0,423.0
2016-04-12T00:00:00,333.0,478.0
2016-04-12T00:00:00,237.0,382.0
2016-04-12T00:00:00,383.0,626.0
2016-04-12T00:00:00,230.0,384.0
2016-04-12T00:00:00,292.0,500.0
2016-04-12T00:00:00,213.0,336.0
2016-04-12T00:00:00,318.0,480.0
2016-04-12T00:00:00,323.0,512.0
2016-04-12T00:00:00,237.0,443.0
2016-04-12T00:00:00,312.0,452.0
2016-04-12T00:00:00,501.0,541.0
2016-04-12T00:00:00,77.0,77.0
2016-04-12T00:00:00,322.0,332.0
2016-04-12T00:00:00,478.0,536.0
2016-04-12T00:00:00,226.0,248.0
2016-04-12T00:00:00,385.0,408.0
2016-04-12T00:00:00,364.0,402.0
2016-04-12T00:00:00,442.0,494.0
2016-04-12T00:00:00,535.0,557.0
2016-04-12T00:00:00,465.0,491.0
2016-04-12T00:00:00,506.0,522.0
2016-04-12T00:00:00,515.0,551.0
2016-04-12T00:00:00,523.0,543.0
2016-04-12T00:00:00,59.0,65.0
2016-04-12T00:00:00,533.0,550.0
2016-04-12T00:00:00,692.0,722.0
2016-04-12T00:00:00,467.0,501.0
2016-04-12T00:00:00,488.0,506.0
2016-04-12T00:00:00,505.0,516.0
2016-04-12T00:00:00,286.0,307.0
2016-04-12T00:00:00,497.0,522.0
2016-04-12T00:00:00,523.0,546.0
2016-04-12T00:00:00,490.0,516.0
2016-04-12T00:00:00,484.0,500.0
2016-04-12T00:00:00,478.0,506.0
2016-04-12T00:00:00,474.0,512.0
2016-04-12T00:00:00,450.0,491.0
2016-04-12T00:00:00,507.0,530.0
2016-04-12T00:00:00,602.0,638.0
2016-04-12T00:00:00,535.0,565.0
2016-04-12T00:00:00,487.0,517.0
2016-04-12T00:00:00,529.0,558.0
2016-04-12T00:00:00,302.0,321.0
2016-04-12T00:00:00,499.0,526.0
2016-04-12T00:00:00,99.0,104.0
2016-04-12T00:00:00,329.0,338.0
2016-04-12T00:00:00,421.0,451.0
2016-04-12T00:00:00,442.0,458.0
2016-04-12T00:00:00,82.0,85.0
2016-04-12T00:00:00,478.0,501.0
2016-04-12T00:00:00,319.0,346.0
2016-04-12T00:00:00,439.0,500.0
2016-04-12T00:00:00,428.0,458.0
2016-04-12T00:00:00,547.0,597.0
2016-04-12T00:00:00,390.0,414.0
2016-04-12T00:00:00,471.0,495.0
2016-04-12T00:00:00,471.0,495.0
2016-04-12T00:00:00,472.0,496.0
2016-04-12T00:00:00,62.0,65.0
2016-04-12T00:00:00,354.0,375.0
2016-04-12T00:00:00,469.0,494.0
2016-04-12T00:00:00,441.0,492.0
2016-04-12T00:00:00,462.0,499.0
2016-04-12T00:00:00,98.0,107.0
2016-04-12T00:00:00,439.0,462.0
2016-04-12T00:00:00,436.0,469.0
2016-04-12T00:00:00,388.0,417.0
2016-04-12T00:00:00,328.0,345.0
2016-04-12T00:00:00,332.0,374.0
2016-04-12T00:00:00,419.0,442.0
2016-04-12T00:00:00,106.0,108.0
2016-04-12T00:00:00,322.0,353.0
2016-04-12T00:00:00,502.0,542.0
2016-04-12T00:00:00,361.0,391.0
2016-04-12T00:00:00,457.0,533.0
2016-04-12T00:00:00,405.0,426.0
2016-04-12T00:00:00,499.0,530.0
2016-04-12T00:00:00,483.0,501.0
2016-04-12T00:00:00,126.0,137.0
2016-04-12T00:00:00,103.0,121.0
2016-04-12T00:00:00,171.0,179.0
2016-04-12T00:00:00,115.0,129.0
2016-04-12T00:00:00,123.0,134.0
2016-04-12T00:00:00,425.0,439.0
2016-04-12T00:00:00,384.0,415.0
2016-04-12T00:00:00,253.0,257.0
2016-04-12T00:00:00,591.0,612.0
2016-04-12T00:00:00,293.0,312.0
2016-04-12T00:00:00,457.0,487.0
2016-04-12T00:00:00,454.0,468.0
2016-04-12T00:00:00,425.0,434.0
2016-04-12T00:00:00,465.0,475.0
2016-04-12T00:00:00,480.0,506.0
2016-04-12T00:00:00,370.0,380.0
2016-04-12T00:00:00,421.0,429.0
2016-04-12T00:00:00,432.0,449.0
2016-04-12T00:00:00,442.0,461.0
2016-04-12T00:00:00,433.0,447.0
2016-04-12T00:00:00,479.0,501.0
2016-04-12T00:00:00,327.0,373.0
2016-04-12T00:00:00,412.0,434.0
2016-04-12T00:00:00,414.0,428.0
2016-04-12T00:00:00,404.0,449.0
2016-04-12T00:00:00,520.0,543.0
2016-04-12T00:00:00,520.0,543.0
2016-04-12T00:00:00,435.0,458.0
2016-04-12T00:00:00,416.0,431.0
2016-04-12T00:00:00,354.0,366.0
2016-04-12T00:00:00,404.0,442.0
2016-04-12T00:00:00,441.0,464.0
2016-04-12T00:00:00,357.0,418.0
2016-04-12T00:00:00,377.0,409.0
2016-04-12T00:00:00,350.0,402.0
2016-04-12T00:00:00,357.0,410.0
2016-04-12T00:00:00,658.0,678.0
2016-04-12T00:00:00,399.0,431.0
2016-04-12T00:00:00,322.0,353.0
2016-04-12T00:00:00,433.0,468.0
2016-04-12T00:00:00,412.0,453.0
2016-04-12T00:00:00,347.0,391.0
2016-04-12T00:00:00,421.0,457.0
2016-04-12T00:00:00,450.0,495.0
2016-04-12T00:00:00,409.0,471.0
2016-04-12T00:00:00,380.0,429.0
2016-04-12T00:00:00,447.0,470.0
2016-04-12T00:00:00,419.0,464.0
2016-04-12T00:00:00,400.0,434.0
2016-04-12T00:00:00,442.0,470.0
2016-04-12T00:00:00,568.0,608.0
2016-04-12T00:00:00,453.0,494.0
2016-04-12T00:00:00,418.0,443.0
2016-04-12T00:00:00,463.0,486.0
2016-04-12T00:00:00,438.0,475.0
2016-04-12T00:00:00,419.0,438.0
2016-04-12T00:00:00,432.0,458.0
2016-04-12T00:00:00,477.0,497.0
2016-04-12T00:00:00,392.0,413.0
2016-04-12T00:00:00,406.0,445.0
2016-04-12T00:00:00,549.0,583.0
2016-04-12T00:00:00,527.0,553.0
2016-04-12T00:00:00,449.0,465.0
2016-04-12T00:00:00,447.0,480.0
2016-04-12T00:00:00,414.0,437.0
2016-04-12T00:00:00,338.0,366.0
2016-04-12T00:00:00,384.0,402.0
2016-04-12T00:00:00,543.0,615.0
2016-04-12T00:00:00,421.0,461.0
2016-04-12T00:00:00,354.0,377.0
2016-04-12T00:00:00,424.0,452.0
2016-04-12T00:00:00,361.0,372.0
2016-04-12T00:00:00,459.0,485.0
2016-04-12T00:00:00,412.0,433.0
2016-04-12T00:00:00,379.0,398.0
2016-04-12T00:00:00,508.0,543.0
2016-04-12T00:00:00,603.0,634.0
2016-04-12T00:00:00,74.0,78.0
2016-04-12T00:00:00,504.0,562.0
2016-04-12T00:00:00,431.0,476.0
2016-04-12T00:00:00,380.0,398.0
2016-04-12T00:00:00,465.0,492.0
2016-04-12T00:00:00,474.0,502.0
2016-04-12T00:00:00,508.0,550.0
2016-04-12T00:00:00,480.0,546.0
2016-04-12T00:00:00,492.0,539.0
2016-04-12T00:00:00,353.0,367.0
2016-04-12T00:00:00,542.0,557.0
2016-04-12T00:00:00,393.0,416.0
2016-04-12T00:00:00,600.0,636.0
2016-04-12T00:00:00,507.0,575.0
2016-04-12T00:00:00,392.0,415.0
2016-04-12T00:00:00,555.0,603.0
2016-04-12T00:00:00,492.0,522.0
2016-04-12T00:00:00,235.0,260.0
2016-04-12T00:00:00,423.0,441.0
2016-04-12T00:00:00,391.0,406.0
2016-04-12T00:00:00,366.0,387.0
2016-04-12T00:00:00,370.0,386.0
2016-04-12T00:00:00,357.0,366.0
2016-04-12T00:00:00,427.0,446.0
2016-04-12T00:00:00,442.0,458.0
2016-04-12T00:00:00,476.0,535.0
2016-04-12T00:00:00,418.0,424.0
2016-04-12T00:00:00,451.0,457.0
2016-04-12T00:00:00,425.0,435.0
2016-04-12T00:00:00,528.0,546.0
2016-04-12T00:00:00,511.0,514.0
2016-04-12T00:00:00,400.0,415.0
2016-04-12T00:00:00,441.0,446.0
2016-04-12T00:00:00,455.0,467.0
2016-04-12T00:00:00,440.0,453.0
2016-04-12T00:00:00,433.0,447.0
2016-04-12T00:00:00,422.0,424.0
2016-04-12T00:00:00,411.0,426.0
2016-04-12T00:00:00,466.0,482.0
2016-04-12T00:00:00,394.0,418.0
2016-04-12T00:00:00,442.0,455.0
2016-04-12T00:00:00,467.0,491.0
2016-04-12T00:00:00,443.0,462.0
2016-04-12T00:00:00,298.0,334.0
2016-04-12T00:00:00,541.0,569.0
2016-04-12T00:00:00,489.0,497.0
2016-04-12T00:00:00,469.0,481.0
2016-04-12T00:00:00,452.0,480.0
2016-04-12T00:00:00,516.0,535.0
2016-04-12T00:00:00,79.0,82.0
2016-04-12T00:00:00,58.0,61.0
2016-04-12T00:00:00,514.0,525.0
2016-04-12T00:00:00,451.0,465.0
2016-04-12T00:00:00,472.0,476.0
2016-04-12T00:00:00,377.0,386.0
2016-04-12T00:00:00,472.0,483.0
2016-04-12T00:00:00,492.0,502.0
2016-04-12T00:00:00,390.0,411.0
2016-04-12T00:00:00,428.0,448.0
2016-04-12T00:00:00,681.0,704.0
2016-04-12T00:00:00,446.0,447.0
2016-04-12T00:00:00,485.0,500.0
2016-04-12T00:00:00,469.0,479.0
2016-04-12T00:00:00,354.0,367.0
2016-04-12T00:00:00,485.0,489.0
2016-04-12T00:00:00,388.0,407.0
2016-04-12T00:00:00,440.0,459.0
2016-04-12T00:00:00,456.0,461.0
2016-04-12T00:00:00,420.0,436.0
2016-04-12T00:00:00,322.0,333.0
2016-04-12T00:00:00,530.0,548.0
2016-04-12T00:00:00,481.0,510.0
2016-04-12T00:00:00,427.0,438.0
2016-04-12T00:00:00,451.0,463.0
2016-04-12T00:00:00,444.0,457.0
2016-04-12T00:00:00,486.0,493.0
2016-04-12T00:00:00,331.0,337.0
2016-04-12T00:00:00,74.0,75.0
2016-04-12T00:00:00,338.0,356.0
2016-04-12T00:00:00,424.0,455.0
2016-04-12T00:00:00,513.0,533.0
2016-04-12T00:00:00,398.0,451.0
2016-04-12T00:00:00,387.0,421.0
2016-04-12T00:00:00,381.0,409.0
2016-04-12T00:00:00,396.0,417.0
2016-04-12T00:00:00,441.0,469.0
2016-04-12T00:00:00,565.0,591.0
2016-04-12T00:00:00,458.0,492.0
2016-04-12T00:00:00,388.0,402.0
2016-04-12T00:00:00,388.0,402.0
2016-04-12T00:00:00,550.0,584.0
2016-04-12T00:00:00,531.0,600.0
2016-04-12T00:00:00,506.0,556.0
2016-04-12T00:00:00,527.0,562.0
2016-04-12T00:00:00,468.0,555.0
2016-04-12T00:00:00,475.0,539.0
2016-04-12T00:00:00,351.0,385.0
2016-04-12T00:00:00,405.0,429.0
2016-04-12T00:00:00,441.0,477.0
2016-04-12T00:00:00,381.0,417.0
2016-04-12T00:00:00,323.0,355.0
2016-04-12T00:00:00,545.0,606.0
2016-04-12T00:00:00,359.0,399.0
2016-04-12T00:00:00,342.0,391.0
2016-04-12T00:00:00,368.0,387.0
2016-04-12T00:00:00,496.0,546.0
2016-04-12T00:00:00,458.0,493.0
2016-04-12T00:00:00,531.0,552.0
2016-04-12T00:00:00,486.0,503.0
2016-04-12T00:00:00,363.0,377.0
2016-04-12T00:00:00,528.0,547.0
2016-04-12T00:00:00,391.0,407.0
2016-04-12T00:00:00,339.0,360.0
2016-04-12T00:00:00,423.0,428.0
2016-04-12T00:00:00,402.0,416.0
2016-04-12T00:00:00,398.0,406.0
2016-04-12T00:00:00,343.0,360.0
2016-04-12T00:00:00,503.0,527.0
2016-04-12T00:00:00,415.0,423.0
2016-04-12T00:00:00,516.0,545.0
2016-04-12T00:00:00,439.0,463.0
2016-04-12T00:00:00,384.0,407.0
2016-04-12T00:00:00,340.0,367.0
2016-04-12T00:00:00,475.0,499.0
2016-04-12T00:00:00,295.0,456.0
2016-04-12T00:00:00,412.0,522.0
2016-04-12T00:00:00,152.0,305.0
2016-04-12T00:00:00,259.0,456.0
2016-04-12T00:00:00,461.0,498.0
2016-04-12T00:00:00,426.0,448.0
2016-04-12T00:00:00,619.0,641.0
2016-04-12T00:00:00,409.0,430.0
2016-04-12T00:00:00,368.0,376.0
2016-04-12T00:00:00,529.0,541.0
2016-04-12T00:00:00,429.0,457.0
2016-04-12T00:00:00,370.0,406.0
2016-04-12T00:00:00,337.0,379.0
2016-04-12T00:00:00,388.0,424.0
2016-04-12T00:00:00,353.0,391.0
2016-04-12T00:00:00,439.0,459.0
2016-04-12T00:00:00,417.0,450.0
2016-04-12T00:00:00,337.0,363.0
2016-04-12T00:00:00,462.0,513.0
2016-04-12T00:00:00,374.0,402.0
2016-04-12T00:00:00,401.0,436.0
2016-04-12T00:00:00,400.0,430.0
2016-04-12T00:00:00,382.0,406.0
2016-04-12T00:00:00,455.0,488.0
2016-04-12T00:00:00,651.0,686.0
2016-04-12T00:00:00,520.0,541.0
2016-04-12T00:00:00,631.0,725.0
2016-04-12T00:00:00,553.0,640.0
2016-04-12T00:00:00,775.0,843.0
2016-04-12T00:00:00,622.0,686.0
2016-04-12T00:00:00,525.0,553.0
2016-04-12T00:00:00,336.0,350.0
2016-04-12T00:00:00,493.0,510.0
2016-04-12T00:00:00,658.0,698.0
2016-04-12T00:00:00,498.0,507.0
2016-04-12T00:00:00,508.0,535.0
2016-04-12T00:00:00,447.0,487.0
2016-04-12T00:00:00,611.0,689.0
2016-04-12T00:00:00,525.0,591.0
2016-04-12T00:00:00,459.0,513.0
2016-04-12T00:00:00,750.0,775.0
2016-04-12T00:00:00,552.0,595.0
2016-04-12T00:00:00,630.0,679.0
2016-04-12T00:00:00,,